priority,action,id,title,mediaTitle,block,flagship,sources,hasEn,templateScore,templateHits,legacyDuplicate,legacyTitle,legacyOverlap,aiFields,readingTimeMinutes
10,defer,tf26-004-scribes,Yazıcıların Gücü,Assassin's Creed Origins,assassins-creed-origins,yes,2,yes,0,,,,0,,6
10,defer,tf26-008-temple-economy,Tapınak Ekonomisi,Assassin's Creed Origins,assassins-creed-origins,yes,2,yes,0,,,,0,,6
10,defer,tf26-020-fall-myth,Roma'nın Çöküş Efsanesi,Gladiator,gladiator,yes,2,yes,0,,,,0,,3
10,defer,tf26-024-oracle-delphi,Delphi Kehaneti,Assassin's Creed Odyssey,assassins-creed-odyssey,yes,2,yes,0,,,,0,,3
10,defer,tf26-028-theatre,Tiyatro ve Polis,Assassin's Creed Odyssey,assassins-creed-odyssey,yes,2,yes,0,,,,0,,3
10,defer,tf26-032-raids-trade,Yağma ve Ticaret,Vikings,vikings,yes,2,yes,0,,,,0,,3
10,defer,tf26-036-vinland,Vinland Yolculuğu,Vikings,vikings,yes,2,yes,0,,,,0,,3
10,defer,tf26-040-stamford-bridge,Stamford Bridge,Vikings,vikings,yes,2,yes,0,,,,0,,3
10,defer,tf26-044-danish-settlement,Dan Yerleşimleri,The Last Kingdom,the-last-kingdom,yes,2,yes,0,,,,0,,3
10,defer,tf26-048-names-identity,İsim ve Kimlik,The Last Kingdom,the-last-kingdom,yes,2,yes,0,,,,0,,3
10,defer,tf26-052-kamikaze,Kamikaze Rüzgarı,Ghost of Tsushima,ghost-of-tsushima,yes,2,yes,0,,,,0,,3
10,defer,tf26-056-island-defense,Ada Savunması,Ghost of Tsushima,ghost-of-tsushima,yes,2,yes,0,,,,0,,3
10,defer,tf26-060-clan-loyalty,Klan Sadakati,Ghost of Tsushima,ghost-of-tsushima,yes,2,yes,0,,,,0,,3
10,defer,tf26-064-hostage-system,Rehine Düzeni,Shogun,shogun,yes,2,yes,0,,,,0,,3
10,defer,tf26-068-port-trade,Liman Ticareti,Shogun,shogun,yes,2,yes,0,,,,0,,3
10,defer,tf26-072-guilds,Lonca Düzeni,Kingdom Come: Deliverance,kingdom-come-deliverance,yes,2,yes,0,,,,0,,3
10,defer,tf26-076-markets,Pazarlar,Kingdom Come: Deliverance,kingdom-come-deliverance,yes,2,yes,0,,,,0,,3
10,defer,tf26-080-literacy,Okuryazarlık,Kingdom Come: Deliverance,kingdom-come-deliverance,yes,2,yes,0,,,,0,,3
10,defer,tf26-084-treasure-myth,Gömülü Hazine,Pirates of the Caribbean,pirates-of-the-caribbean,yes,2,yes,0,,,,0,,3
10,defer,tf26-088-maps-navigation,Harita ve Seyir,Pirates of the Caribbean,pirates-of-the-caribbean,yes,2,yes,0,,,,0,,3
10,defer,tf26-096-sans-culottes,Sans-Culottes,Assassin's Creed Unity,assassins-creed-unity,yes,2,yes,0,,,,0,,3
10,defer,tf26-100-napoleon-rise,Napolyon'un Yükselişi,Assassin's Creed Unity,assassins-creed-unity,yes,2,yes,0,,,,0,,3
10,defer,tf26-104-enslavement-contradiction,Kölelik Çelişkisi,Hamilton,hamilton,yes,2,yes,0,,,,0,,3
